S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350112,940,9492,16071,4699,5921,1504,7519,57143,3853,8929,658,0,470,3571,2538,7331,0
5350113,2239,22761,34515,8769,13246,2799,14366,32463,4664,8396,560,373,1306,1493,2612,8396,0
5350114,2420,16747,34560,9777,12004,3775,19845,29235,5324,5227,194,968,1452,2323,1839,10939,581
5350115,2541,10038,26048,6989,8513,2287,11182,31131,7116,6861,1398,0,3177,2922,3050,21093,254
5350116,2651,18072,40000,9398,13253,4337,24578,19639,4458,2530,361,1205,2169,3012,2771,11205,1205
5350117,1598,22146,50000,7763,18950,4338,27169,13242,2055,1826,0,685,1826,2283,3425,9132,457
5350118,1937,23002,40678,7506,12349,4479,31840,12591,1937,3269,605,363,1211,3632,2542,7022,363
5350119,1425,18750,42544,9101,14583,2303,27303,11732,2632,3289,219,1425,1316,2851,3838,7346,0
5350120,758,28409,55682,6061,18182,7197,19318,12121,1136,0,0,1515,758,5303,6061,6818,758
5350121,1414,19192,52121,8687,14747,3636,19798,12525,1212,2222,0,606,1414,2626,3636,10101,404
5350122,1844,21171,46271,8099,14916,3047,23496,12751,1363,2807,160,1283,1363,3128,4491,10024,722
5350123,2428,15673,38411,9051,13687,2428,20530,13245,7285,3091,0,662,1766,7285,7506,11700,662
5350124,1905,18952,49048,9714,14381,3143,19048,11619,2190,4190,190,381,762,4857,3143,7810,286
5350125,1327,30752,64602,10177,17588,4535,15929,10730,1438,996,332,553,1549,2655,3097,6748,664
5350126,1381,26237,54430,11623,17261,3337,20253,14960,2417,2532,230,230,575,4028,4603,9206,460
5350127,2617,23458,45327,6822,15888,2336,20654,15701,2056,3551,280,280,1121,3084,5794,13925,187
5350128.02,1137,16637,37044,7002,11490,2992,17953,13405,3052,3710,598,958,1975,8618,6224,13645,299
5350128.04,1200,14068,38495,8397,12868,2399,22901,12759,3381,4144,327,436,1636,6870,5998,9815,218
5350128.05,0,18657,52985,10448,18657,1493,19403,8209,3731,2239,0,0,4478,6716,2985,11194,1493
5350128.06,1423,11981,28470,5813,9134,1779,12693,14828,3559,5813,356,949,1423,7948,16963,13049,474
5350129,873,24978,44629,9694,12751,3144,21048,14585,1659,2009,524,1310,1485,4279,3755,15197,611
5350130,593,22370,31259,6815,12889,2963,43407,14222,1926,1037,593,2667,1037,6963,2963,11111,0
