S_CTUID,1871,1872,1930,1931,1932,1933,1937,1938,1939,1940,1941,1942
5350239,54.9,10.7,2720,1650,130,825,2715,295,890,700,360,480
5350240.01,55.7,5.1,1495,1080,70,315,1495,160,520,425,180,215
5350240.02,52.4,7.8,2375,1490,80,720,2375,190,690,735,360,400
5350241,61.3,5.2,1365,990,65,275,1365,125,555,355,135,205
5350242,52.3,10.7,605,320,60,205,610,45,160,170,100,135
5350243.01,40.5,13.7,1930,1185,85,565,1930,355,605,440,185,345
5350243.02,57.9,6.6,1780,1070,130,525,1780,240,620,365,180,375
5350244.01,57,8.5,2605,1560,165,810,2600,255,830,600,380,540
5350244.02,50.9,12.7,1440,790,85,520,1440,110,495,365,160,305
5350245,56.6,10.8,3120,1860,135,955,3120,415,965,750,340,655
5350246,54.7,11.3,1610,1070,100,390,1615,265,535,365,220,220
5350247.01,60.4,10.1,4225,2785,325,990,4225,850,1320,880,395,780
5350247.02,58.3,8.8,3390,2145,260,900,3390,465,1090,890,365,575
5350248.02,43,14.8,1790,940,130,635,1790,230,465,440,190,465
5350248.03,60.9,8.7,1255,650,95,480,1250,125,365,325,175,260
5350248.04,57.9,10.8,2305,1210,120,745,2300,345,635,600,225,495
5350248.05,52,11,1805,1020,170,545,1805,215,445,575,210,355
5350249.01,52.9,9.2,1945,1250,115,535,1945,220,700,495,185,355
5350249.03,56.9,7.9,2595,1635,170,720,2600,325,795,685,245,545
5350249.04,53.5,8.3,1490,895,140,385,1490,155,555,365,135,275
5350249.05,50,12.4,2075,995,190,725,2075,295,575,535,245,425
5350250.01,51.6,11.6,2140,1355,185,540,2135,300,685,580,220,360
5350250.02,56.7,9.2,2205,1505,135,490,2210,355,630,635,265,325
5350250.04,56.5,12.2,2515,1325,115,970,2510,250,645,660,340,610
5350250.05,48.3,13.9,2785,1560,240,860,2785,275,885,770,250,600
5350260.01,53.9,9.2,2880,1260,130,1355,2885,335,640,745,560,605
5350260.04,48,11.9,1465,590,10,690,1465,210,380,320,195,365
