S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350516.42,83585,16415,36406,9159,6203,7014,1855,12522,2551,1043,812,0
5350378.18,83591,16409,21236,58494,8687,2896,0,386,386,3089,0,0
5350128.02,83603,16397,5925,5745,3770,2992,2154,1855,359,3710,2873,1077
5350576.65,83617,16596,57749,2123,14225,1699,849,2335,2548,3609,0,0
5350340,83617,16383,27502,4522,12602,9563,1334,593,1112,1112,593,1112
5350375.05,83634,16366,14275,28479,6849,2740,1442,5191,0,2740,577,937
5350157,83647,16165,1504,1128,22932,7895,15038,0,3008,564,940,940
5350168,83661,16250,1966,3396,15460,17784,6613,894,2055,179,626,447
5350262.01,83661,16339,13088,3849,15997,7271,4021,1882,1112,2908,1625,770
5350156.01,83681,16406,7118,1997,25608,3559,16840,694,7552,694,0,347
5350378.24,83681,16319,21267,58507,3906,5035,781,521,1563,0,0,174
5350376.12,83695,16305,18379,34779,3959,3959,1225,2262,1697,1037,0,566
5350007.01,83703,16139,9968,2373,10601,8544,1108,949,1741,316,316,633
5350420.08,83729,16271,4157,11520,2257,3563,1781,1069,238,15796,3800,475
5350355.06,83750,16563,28972,5607,34891,6231,1246,623,0,3738,0,0
5350422.05,83780,16291,10578,63399,635,705,212,1834,1481,5430,2539,353
5350190.02,83847,16153,10096,2125,14665,13496,2444,213,531,1063,319,319
5350520.01,83854,16059,27170,12674,8333,7726,3038,1736,3993,1302,174,0
5350403.14,83940,16010,19102,57556,3441,2643,599,848,1247,748,499,0
5350401.09,83969,16031,7633,74478,1073,1312,358,1133,119,179,596,239
5350294.01,84018,15982,1663,998,23392,998,18293,1109,3548,3437,0,0
5350308.03,84018,15982,6849,15525,1370,4110,0,0,5023,3196,6849,0
5350089,84038,16098,3820,10505,1091,1364,1364,2865,273,3411,2729,546
5350576.63,84043,15957,69636,310,8908,1007,1627,1936,2246,2556,0,0
5350520.02,84062,15867,20663,15374,4866,10085,1693,7475,3808,2609,846,282
5350526.01,84066,15851,20681,4817,8140,5150,2741,2326,8306,249,664,249
5350112,84102,15992,2070,3481,4610,1693,6867,376,564,1505,941,282
5350283.01,84154,15945,5807,1181,35630,6201,10728,689,2067,295,0,0
5350102.03,84189,15811,1757,3108,2027,1081,5405,1892,270,2432,946,405
5350032,84217,15783,7774,6832,14488,2709,2356,2356,1885,1178,471,824
5350528.25,84246,15688,30441,9880,6475,8945,2737,5207,4940,1202,1135,0
5350317.03,84254,15608,3729,8564,4282,6768,1381,2348,829,1243,3177,1243
5350422.06,84297,15607,4913,13391,2216,6069,1830,867,289,13776,771,0
5350401.17,84322,15678,22458,53672,2401,1977,0,1554,0,424,565,0
5350353.03,84323,15677,38386,14333,7249,9390,1812,1812,1812,1153,329,659
5350378.04,84333,15667,46583,10167,13583,10917,833,2417,250,1750,500,167
5350014,84388,16034,9705,14768,3376,2954,1266,4219,1688,2110,3376,2532
5350351.01,84389,15611,34344,3211,10348,11418,1606,1427,803,1606,268,0
5350424.07,84395,15605,5599,28350,2263,298,119,2740,179,10899,3931,357
5350525.01,84418,15582,17372,5136,9819,6495,2417,1813,5438,604,453,453
5350099,84427,15573,7863,4809,2901,3588,3359,1221,1756,840,2137,1298
5350377.03,84464,15714,7665,59358,4813,2852,0,1961,357,0,891,0
5350528.46,84465,15465,44717,8747,5668,8048,2939,7628,3289,630,840,0
5350359,84470,15530,20729,3376,22620,7292,2228,810,1080,3646,743,0
5350304.03,84471,15358,7338,28498,10751,10922,2901,341,1706,4266,2730,0
5350528.48,84475,15462,61069,3396,6918,6541,1509,4088,3648,1132,0,0
5350353.04,84485,15515,40430,2265,12911,13024,1586,906,227,1699,0,227
5350290.02,84548,15743,3499,2332,11079,20117,9329,583,2915,583,875,583
5350576.1,84562,15438,55772,2309,10531,2066,1904,2471,1701,932,0,81
5350378.03,84568,15500,31726,16304,17188,9035,2582,543,815,340,272,136
5350521.05,84571,15545,16357,1508,5452,10789,3596,1740,4524,696,1856,0
5350424.15,84596,15353,10389,33879,1894,2047,768,1842,921,11310,2252,102
5350158,84602,15398,3885,1014,19088,8784,12331,0,5236,338,338,1014
5350365,84621,15456,45904,2396,8037,9119,1855,773,1314,1236,0,0
5350500.01,84650,15201,5067,3279,6408,3279,2832,2534,894,596,1043,298
5350013.01,84664,15415,11453,12006,4897,3160,1659,2686,1580,1422,1264,1659
5350097.04,84664,15245,6358,6540,4723,1635,5995,545,2816,545,545,1181
5350047.02,84750,15385,12129,4043,11590,3100,3908,943,3908,0,674,270
5350576.44,84767,15233,35842,358,20430,4480,2867,1613,1254,0,0,0
5350312.04,84785,15215,9499,4398,28144,1143,8795,616,22691,1319,0,0
5350370.02,84787,15121,30612,15121,6772,13544,742,2226,1948,2597,278,371
5350403.11,84793,15160,17938,62853,2401,2778,141,1412,1083,942,330,0
5350576.61,84828,15217,63089,996,11821,408,2355,4076,498,3397,0,0
5350200.01,84829,15171,3770,2244,6732,2783,2424,1077,1167,987,1346,359
5350193,84830,15170,13158,2322,2786,2941,774,1084,310,8050,464,619
5350357.02,84837,15163,32438,1248,28215,2687,672,1536,288,4031,288,192
5350576.7,84901,15099,55046,1660,15336,4532,1370,1001,1238,922,105,53
5350401.04,84914,15086,11820,59565,5443,3266,0,1400,0,467,0,311
5350369,84944,15119,36740,5266,7210,6583,2445,1003,313,5266,188,376
5350378.07,84953,15047,24324,38568,10738,8692,1023,1753,657,146,511,0
5350424.16,84966,15034,10251,31378,2278,1481,285,3872,1082,10877,3872,114
5350312.06,84979,15165,2289,3004,18598,4578,15880,5722,12589,2432,0,286
5350312.02,84985,15170,12693,8824,21053,7585,5418,0,17957,1858,310,0
5350420.03,84988,15012,6467,22479,5466,4234,1001,1617,385,14011,3387,385
5350519,85027,15107,17781,9626,4412,7487,2807,4412,3075,535,267,0
5350274.01,85062,14938,6023,14849,5504,5607,3842,1142,623,7477,4984,727
5350286,85078,14922,6859,4693,16486,6739,5776,361,2527,1203,722,722
5350422.04,85080,15043,9864,62145,986,863,0,740,1356,5425,4069,370
5350613.04,85124,14758,5903,8028,3188,1653,3896,2597,826,1535,1535,472
5350260.01,85152,14924,47348,4545,3712,14773,606,1364,758,7197,530,0
5350576.62,85185,14815,66263,142,10961,996,2633,2562,2847,2776,0,0
5350097.01,85194,14806,14286,10276,4511,1128,2506,501,5514,251,1880,752
5350524.02,85196,14804,11872,1816,4190,5587,2095,4190,2793,279,279,279
5350316.04,85199,14801,9255,5889,34856,1803,9014,962,12620,1563,721,240
5350036,85209,14882,4174,31125,2450,3176,726,2904,2269,1270,3902,1724
5350185.01,85245,14828,4526,3358,4380,5109,2336,1095,584,1241,876,730
5350225.01,85256,14744,6627,4016,2510,4920,2912,1506,904,0,5522,301
5350040,85259,14631,1760,35864,2090,660,550,220,1100,220,440,440
5350576.52,85269,14815,43013,1347,24579,5135,1684,1094,2441,337,0,0
