S_CTUID,690,743,746,857,860,867,870
5350222.01,8.9,70848,42368,10.7,9.6,9.3,9.4
5350222.02,10.6,56491,29264,22.4,20.9,18.3,17.5
5350223.01,5.4,111104,42240,5.6,6,4.9,5.5
5350223.02,6.7,98688,36480,6.1,5.5,5.7,5.5
5350224,2.7,139520,55168,5.6,5.5,4.1,4.6
5350225.01,9.3,65764,45696,13.7,15,11.1,12.9
5350225.02,11.8,48196,32676,27.9,22.4,22.8,19.5
5350226,4.1,117888,47488,4.4,4.8,4.1,4.8
5350227,2.2,151552,56448,3.4,4.3,3.1,3.8
5350228,3.5,102571,56768,5.4,6.6,5,6.1
5350229,2.1,159488,46080,4,4.4,3.6,3.7
5350230.01,3.9,74240,45013,8.5,8.2,7.3,7.9
5350230.02,10.7,60723,36250,13.4,12.7,9.7,9.7
5350231,3.5,88157,39680,8.4,9.1,7.1,8.3
5350232,3.1,147163,64128,4.4,4.2,3.9,3.7
5350233,7.3,89498,42752,9.7,9.8,8,8.7
5350234,10.1,85504,36949,10.9,9.9,8.4,7.7
5350235.01,10.8,87072,38016,5.8,5.3,4.6,5
5350235.02,14.5,67860,35310,11.8,11.1,9.4,9.1
5350236.01,15.1,58098,35360,16.8,15.1,12.6,12.2
5350236.02,11.4,76940,41280,8.9,8.5,6.4,6.8
5350237.01,20.7,52096,27008,26.7,23.2,20.2,18.7
5350237.02,15.1,72243,32128,10.7,9.9,7.4,7.3
5350237.03,17,55706,34560,14.8,13.3,11.3,11.4
5350238.01,9.3,90368,43264,6.3,6.5,4.2,4.7
5350238.02,15.4,58439,35872,17.4,15.7,13.6,13
5350239,14.6,57776,35840,23.9,21.7,19.1,17.9
5350240.01,10.2,91392,38144,4.2,3.9,3,3.1
5350240.02,14.9,56000,35917,13.7,12.5,9.8,9.8
5350241,8.9,85056,34261,7,7,5.5,6.5
5350242,18.8,50048,22592,30.7,27.8,23,21.5
5350243.01,28.3,48427,34603,36.6,35.5,28.9,30.6
5350243.02,18.1,56960,31520,15.8,14.6,12.9,12.4
5350244.01,17.8,58608,33170,18.8,16.7,14.2,13.5
5350244.02,23.6,48683,21280,29.9,26.2,23.6,21
5350245,17.7,53213,29728,19.8,18.3,16.9,16.1
5350246,15.6,65408,20512,16.2,14.9,13.7,13.6
5350247.01,13.7,64740,37152,16.2,15.2,13.7,13.8
5350247.02,16.1,65038,33536,12.4,12.3,10.9,11.6
5350248.02,31,41376,16032,37,32,31.1,28
5350248.03,16.3,64896,30464,12.6,11.7,10.1,10.6
5350248.04,15.6,60288,26432,18.4,18.8,18.2,21
5350248.05,19.3,58795,22080,18.9,18.4,18.4,20.7
5350249.01,18.2,71040,29397,10.4,10.7,8.3,8.7
5350249.03,17.2,66779,33600,16.9,15.6,12.5,12.8
5350249.04,20.3,62037,29440,19.9,18.8,16,15.9
5350249.05,24,49737,24000,31.7,28.6,24.3,23.1
5350250.01,19.6,59328,29760,20,18.8,16.8,16.8
5350250.02,17.5,60400,27797,15.4,13.9,12.4,11.9
5350250.04,21.1,48666,27008,30.5,25.6,24.3,21.4
5350250.05,26.4,51273,30656,30.5,26.4,21.7,19.7
5350260.01,19.5,51513,31648,23.1,21.3,17.1,16.1
5350260.04,27.5,38030,18453,44.7,38.1,35.9,31
5350260.05,36.8,32640,20160,61,55.6,49.3,45.7
5350260.06,15.5,50880,35328,31.1,26.7,25.9,23.4
5350260.07,16.9,58112,39040,19.2,17.8,13.1,13
5350261,24.2,41033,18221,29.6,24,23.6,20
5350262.01,14.8,47258,35904,21.4,19.8,16.8,16.6
5350262.02,15.1,51285,32640,27,26.9,20.4,21
5350263.02,9.6,64555,44672,13.5,11.4,11.1,10.9
5350263.03,9,58149,40960,16,15.9,13,13.4
5350263.04,13,55761,44826,17.5,17.7,13.2,14.9
5350264,1.1,176640,107776,13.1,13.8,12.3,13.2
5350265,1.3,152869,76203,7.8,8.3,7.2,7.9
5350266,1.2,183296,67840,8.6,9.1,8.7,9.8
5350267,3.3,122807,53888,10.1,10.7,8.8,10.1
5350268,8.7,69297,44096,12.1,13.5,10.2,12.1
5350269.01,17.3,45303,30240,33,30.4,27.4,26.4
5350269.02,5.6,102144,52992,9,9.7,8.2,9.4
5350270.01,11.6,58970,38485,18.2,17.1,14.9,14.8
5350270.02,11.3,62480,37280,17,15.8,13.2,13.1
5350271.01,9.6,84608,38528,8.2,8.5,6.8,7.1
5350271.02,12.1,58240,31552,22.9,21.4,17.7,17.1
5350272.01,17.1,46811,30112,28.3,25,22.6,20.5
5350272.02,13.3,64544,36011,13.4,12,10.6,10.5
5350273.01,3.4,114773,50304,12.2,13.1,10.4,11.6
5350273.02,5.1,90581,52736,18.7,20.1,15.4,17.5
5350274.01,3.8,73114,39808,16.7,16.6,14.6,14.7
5350274.02,3.6,77210,50944,15.6,16.8,12.9,14
5350275,3.3,101792,50528,7.9,8.7,6.1,7
5350276.01,4.8,72090,35712,12.3,11.5,10.8,11.1
5350276.02,3,117504,43520,7.5,8.1,7.4,8.4
5350277,2.4,117760,35136,10.2,10.6,8.8,9.9
5350278,7.2,65042,26496,15.7,14.3,13.6,13.9
5350279.01,13,65408,31552,11.3,10.9,10.6,11.1
5350279.02,17.8,54861,27744,15.8,14.7,12.2,11.8
5350280,17.9,46921,27456,24.2,23,18.3,18.3
5350281.01,18.4,49847,23232,24,21.4,19.3,18.2
5350281.02,21.4,52352,28544,26.9,22.7,21,18.3
5350282,12.5,71993,35776,9.3,8.9,7.9,8.4
5350283.01,22.4,44864,22229,28.5,24.7,21.5,19.7
5350283.02,25.8,39744,20373,35.3,31,27.4,24.5
5350284,16.3,56896,28096,16.3,15.9,12.5,13
5350285,16.2,58765,27968,12.9,12,10.3,11
5350286,15.3,54656,31680,23.2,20,19.3,17.3
5350287.02,15.7,52114,28736,20.4,18.5,17.5,17.4
5350287.03,25.1,40320,22336,40.5,35,31.8,28.7
5350287.04,11.5,49024,25552,17.6,15.3,14.9,13.7
5350288,8.3,60530,35627,14.4,14.1,12.3,13.1
5350289,15.5,58016,29675,14.5,14.7,12.8,14
5350290.01,20.1,44599,27968,25.8,23.4,19.8,19
5350290.02,11,53018,38443,20.3,18.7,15.7,15.6
5350291.02,21.3,48549,18928,20.3,20.5,17.1,18.3
5350291.03,19.9,51648,31296,18.9,18.5,15,15.1
5350291.04,18.8,49792,32992,18.9,17.1,14.8,15.1
5350292,17.6,56594,24064,19.4,17.3,17.2,16.9
5350293,14.4,68416,34918,13,12,10.3,10.3
5350294.01,18.8,54240,31424,20.8,18.3,15.1,14.1
5350294.02,20.5,64512,27840,13.8,11.7,11.3,11.1
5350295,17.6,52978,30123,17.1,16.1,14.5,14.5
5350296,x,x,x,x,x,x,x
5350297.01,11.8,55899,23680,19.5,15.2,16.8,14
5350297.02,9.4,62720,27584,15.8,13.2,13.5,12.4
5350298,3.2,86187,30912,11.1,11.8,9.2,10.5
5350299.01,5.3,88672,36736,13.6,14.8,11.9,13.5
5350299.02,7,53712,45397,28.1,29.6,25.2,27.3
5350300,4.6,57440,48414,27.7,27.9,24.9,25.5
5350301.01,8,73429,38997,14.1,14.7,11.9,12.8
5350301.03,10.8,47115,35237,35.2,34.3,30.4,31.2
5350301.04,10.8,49562,35712,30.6,29.4,26.1,26.8
5350302.01,12.9,68039,37824,13,13.3,11.3,12.5
5350302.02,15.9,59008,29248,21,20.6,19,20.4
5350302.03,16.1,59307,27157,19.6,19.9,19,21
5350303,16.9,49843,24832,30.8,29.4,26.2,26.5
5350304.01,16.6,48457,30528,30.2,29.5,24.6,24.7
5350304.02,8.5,81920,47936,11.9,12.9,10.1,11.5
5350304.03,11.2,76083,39936,18,17,14.2,14.1
5350304.04,14,51098,31168,27.3,26,21.8,21.3
5350304.05,15.2,65792,46720,19.1,23,16.8,22.3
5350304.06,12.2,58342,34773,20.4,20.2,17.5,18.5
5350305.01,5.9,103872,54272,12.8,15,11.4,13.7
5350305.03,7.9,59392,43947,25.9,27.1,21.8,23.7
5350305.04,6.6,50235,42229,29.9,29.3,26.1,26.4
5350306.01,8.5,66970,32704,24.9,25.5,22,23.2
5350306.02,5.2,75776,42325,19.9,20.8,18.2,19.7
