S_CTUID,Membership
5350571.01,7
5350571.02,5
5350572.01,5
5350572.04,1
5350572.05,6
5350572.07,8
5350572.08,8
5350572.09,8
5350572.1,8
5350573.03,1
5350573.05,1
5350573.06,1
5350573.07,1
5350573.09,8
5350573.1,8
5350573.11,8
5350574.0,2
5350575.01,1
5350575.02,1
5350575.03,1
5350575.04,1
5350575.05,1
5350575.07,8
5350575.08,8
5350576.04,5
5350576.05,8
5350576.06,1
5350576.07,1
5350576.09,5
5350576.1,8
5350576.16,8
5350576.17,8
5350576.2,8
5350576.22,8
5350576.24,8
5350576.29,8
5350576.31,5
5350576.32,8
5350576.33,5
5350576.34,8
5350576.4,8
5350576.41,8
5350576.42,8
5350576.43,8
5350576.44,8
5350576.45,8
5350576.46,8
5350576.47,8
5350576.49,8
5350576.5,8
5350576.52,8
5350576.53,8
5350576.54,8
5350576.55,8
5350576.56,8
5350576.57,8
5350576.58,8
5350576.59,8
5350576.6,8
5350576.61,8
5350576.62,8
5350576.63,8
5350576.64,8
5350576.65,8
5350576.66,8
5350576.67,8
5350576.68,8
5350576.69,8
5350576.7,8
5350576.71,8
5350576.72,8
5350585.02,1
5350585.03,5
5350585.05,5
5350585.07,5
5350585.08,5
5350585.09,5
5350585.1,1
5350586.01,3
5350586.02,5
5350587.01,5
5350587.02,5
5350590.0,5
5350591.01,5
5350591.02,5
5350592.01,5
5350592.02,5
5350593.0,5
5350600.01,4
5350600.02,3
5350601.0,4
5350602.0,4
5350603.0,2
5350604.0,4
5350605.0,4
5350606.0,5
5350607.0,5
5350608.0,5
5350609.0,4
5350610.02,3
5350610.03,5
5350610.04,5
5350611.0,5
5350612.01,0
5350612.03,3
5350612.05,5
5350612.08,3
5350612.1,0
5350612.11,3
5350612.12,3
5350612.13,5
5350612.14,5
5350612.15,3
5350612.18,3
5350612.19,3
5350612.2,3
5350612.21,3
5350612.22,3
5350612.23,3
5350612.24,3
5350612.25,3
5350612.26,5
5350612.27,3
5350613.01,5
5350613.03,5
5350613.04,2
5350614.01,5
5350614.02,5
5350615.0,3
5350620.01,3
5350620.05,3
5350620.06,3
5350620.07,3
5350620.08,3
5350620.09,3
5350620.1,3
5350620.11,3
5350620.12,3
5350620.13,5
5350621.0,5
5350622.0,5
5350623.0,5
5350624.0,5
5350625.0,5
5350626.0,5
5350630.0,5
5350631.02,5
5350631.03,5
5350631.04,5
5350632.0,5
5350633.0,5
5350634.01,5
5350634.02,5
5350635.0,5
5350636.0,5
5350637.0,5
5350638.0,5
5350639.0,5
5350800.01,5
5350800.02,5
5350801.01,5
5350801.02,5
5350802.01,3
5350802.02,5
